Index   Info                     Parent      RightSibling
0       Program                   -1         -1              
1       StatementsList            0          -1              
2       SimplStatement            1          -1              
3       ;                         1          2               
4       StatementsList            1          3               
5       SimplStatement            4          -1              
6       ;                         4          5               
7       StatementsList            4          6               
8       SimplStatement            7          -1              
9       ;;                        7          8               
10      AssignStatement           8          -1              
11      identifier                10         -1              
12      =                         10         11              
13      constant                  10         12              
14      ReadStatement             8          -1              
15      readFromInput             14         -1              
16      (                         14         15              
17      identifier                14         16              
18      )                         14         17              
19      DeclStatement             8          -1              
20      SimpleDeclStatement       19         -1              
21      declare                   20         -1              
22      Type                      20         21              
23      identifier                20         22              
24      int                       22         -1              
